Number-of-splits,Total-length,Segment-length,RMSE,Max-Point-Error,Model-type,Tile-ID,Lane-Group-ID,Lane-ID,Lane-Sub-Segment-ID
1.0,569.7764305623238,569.7764305623238,0.04088296894625402,0.07733014738187194,1.0,3.09134572E8,3.8262543976E10,5.0,1.0
7.0,569.8154589285067,80.82635219981049,0.015381546881391345,0.03609357875302521,1.0,3.09134572E8,3.8262543976E10,6.0,1.0
7.0,569.8154589285067,81.63487363636543,6.893761654420945E-17,2.0650208634718734E-16,0.0,3.09134572E8,3.8262543976E10,6.0,2.0
7.0,569.8154589285067,80.65949713535338,0.026024906532561898,0.060262368618168694,1.0,3.09134572E8,3.8262543976E10,6.0,3.0
7.0,569.8154589285067,79.89062704846748,0.05347225464998137,0.09449698338516463,0.0,3.09134572E8,3.8262543976E10,6.0,4.0
7.0,569.8154589285067,80.50438680723829,0.017622257555134718,0.04568286724497739,1.0,3.09134572E8,3.8262543976E10,6.0,5.0
7.0,569.8154589285067,81.09037521086164,0.01907020229300687,0.0534320258320804,1.0,3.09134572E8,3.8262543976E10,6.0,6.0
7.0,569.8154589285067,79.3049288145998,0.03685969691718125,0.092803536142128,1.0,3.09134572E8,3.8262543976E10,6.0,7.0
4.0,569.8244176614342,140.1469205447721,0.014142199973314238,0.03879518585745245,1.0,3.09134572E8,3.8262543976E10,7.0,1.0
4.0,569.8244176614342,142.3670302447815,0.029462564919616897,0.07417756808627018,1.0,3.09134572E8,3.8262543976E10,7.0,2.0
4.0,569.8244176614342,141.03955802517714,0.018051957289011693,0.04154703307948914,0.0,3.09134572E8,3.8262543976E10,7.0,3.0
4.0,569.8244176614342,143.29840930291255,3.330971589903385E-15,4.861285601589381E-15,0.0,3.09134572E8,3.8262543976E10,7.0,4.0
1.0,105.05770143196824,105.05770143196824,0.011387082425595812,0.029545106377554475,1.0,3.09134572E8,1.0010007154E10,1.0,1.0
1.0,105.02100369867212,105.02100369867212,0.018782866643209647,0.0553611457800391,2.0,3.09134572E8,1.0010007154E10,2.0,1.0
1.0,104.96509688402226,104.96509688402226,0.0264571823889207,0.07815469026536448,1.0,3.09134572E8,1.0010007154E10,3.0,1.0
3.0,355.48987346939884,117.61941682408224,0.02437578825764259,0.05455226867479723,1.0,3.09134572E8,1.0675009179E10,2.0,1.0
3.0,355.48987346939884,117.30114514044249,0.03389901000317541,0.09933317350055404,1.0,3.09134572E8,1.0675009179E10,2.0,2.0
3.0,355.48987346939884,118.64539306753787,0.02558746025214926,0.07305686225014003,2.0,3.09134572E8,1.0675009179E10,2.0,3.0
6.0,356.2698711982463,57.612287860397274,0.012066087956195595,0.03203819068539815,1.0,3.09134572E8,1.0675009179E10,3.0,1.0
6.0,356.2698711982463,59.23193247496476,0.041380519988514816,0.09189915970519676,0.0,3.09134572E8,1.0675009179E10,3.0,2.0
6.0,356.2698711982463,58.16755066348033,0.027015214139489496,0.06499797711103383,1.0,3.09134572E8,1.0675009179E10,3.0,3.0
6.0,356.2698711982463,58.108453929918355,0.010206616640609156,0.027899363438109503,1.0,3.09134572E8,1.0675009179E10,3.0,4.0
6.0,356.2698711982463,58.2287967101866,0.024391212255115882,0.05714270561793455,1.0,3.09134572E8,1.0675009179E10,3.0,5.0
6.0,356.2698711982463,60.07683801450651,0.039503613678095635,0.09146804389047247,1.0,3.09134572E8,1.0675009179E10,3.0,6.0
2.0,357.03653486747834,178.32687465945395,0.04444769370893821,0.09762165311609243,2.0,3.09134572E8,1.0675009179E10,4.0,1.0
2.0,357.03653486747834,177.7430726375785,0.0517145638222153,0.08809953748203994,2.0,3.09134572E8,1.0675009179E10,4.0,2.0
3.0,306.05103209566767,100.90691111266838,0.0076714208512775415,0.03712292900687629,0.0,3.09134572E8,8.835011527E9,2.0,1.0
3.0,306.05103209566767,102.21725207798606,5.049237369743094E-16,7.916042449544159E-16,0.0,3.09134572E8,8.835011527E9,2.0,2.0
3.0,306.05103209566767,100.94206789379022,0.01753127423814385,0.0431324606479393,1.0,3.09134572E8,8.835011527E9,2.0,3.0
3.0,305.9965569128768,100.9057843342067,0.009675327880715711,0.046820075481167865,0.0,3.09134572E8,8.835011527E9,3.0,1.0
3.0,305.9965569128768,102.20517106373231,3.6334064354362944E-16,5.824616466223E-16,0.0,3.09134572E8,8.835011527E9,3.0,2.0
3.0,305.9965569128768,100.90103508651589,0.019158259428053236,0.04900706040143632,1.0,3.09134572E8,8.835011527E9,3.0,3.0
2.0,305.92973500644047,152.91518696418387,0.009011499409562423,0.023398338533297647,1.0,3.09134572E8,8.835011527E9,4.0,1.0
2.0,305.92973500644047,152.0204733824521,0.01649393231150428,0.05298910307818603,2.0,3.09134572E8,8.835011527E9,4.0,2.0
2.0,305.87431609232436,153.094062343551,5.551220658529373E-17,1.1102117813109693E-16,0.0,3.09134572E8,8.835011527E9,5.0,1.0
2.0,305.87431609232436,151.78613646082826,0.015541069339561665,0.0579435350616135,2.0,3.09134572E8,8.835011527E9,5.0,2.0
2.0,305.81086817744847,152.97986391606986,0.007941555027996717,0.020620160190446768,1.0,3.09134572E8,8.835011527E9,6.0,1.0
2.0,305.81086817744847,151.83609451615627,0.0379946177011564,0.0954995582887932,1.0,3.09134572E8,8.835011527E9,6.0,2.0
2.0,6.183287696703313,2.8059757758217074,0.03726846268742061,0.047321244342224844,1.0,3.0913458E8,2.388183868E9,2.0,1.0
2.0,6.183287696703313,3.0879112390807832,0.04201106231875211,0.0548563782114071,1.0,3.0913458E8,2.388183868E9,2.0,2.0
8.0,314.95984182712346,38.28559078541541,0.012135408946065136,0.03024292198324474,1.0,3.0913458E8,3.8280041372E10,2.0,1.0
8.0,314.95984182712346,38.89813931084652,0.023786191579973064,0.0606656391390743,1.0,3.0913458E8,3.8280041372E10,2.0,2.0
8.0,314.95984182712346,39.32735268519688,0.030948376691987103,0.06940068683093159,1.0,3.0913458E8,3.8280041372E10,2.0,3.0
8.0,314.95984182712346,36.42733142382731,0.04911454142225242,0.0981483578211737,1.0,3.0913458E8,3.8280041372E10,2.0,4.0
8.0,314.95984182712346,38.64424405965219,0.03041834535858481,0.07538430860438439,1.0,3.0913458E8,3.8280041372E10,2.0,5.0
8.0,314.95984182712346,39.47325806807442,0.019752704915129767,0.04411206394161127,1.0,3.0913458E8,3.8280041372E10,2.0,6.0
8.0,314.95984182712346,38.19102399886172,0.013698366742101923,0.04978597696556989,0.0,3.0913458E8,3.8280041372E10,2.0,7.0
8.0,314.95984182712346,39.05706429032247,0.03433877348895103,0.06553838206451028,0.0,3.0913458E8,3.8280041372E10,2.0,8.0
6.0,313.78114078026704,51.37900156183475,0.023788477608750445,0.07271608057769935,2.0,3.0913458E8,3.8280041372E10,3.0,1.0
6.0,313.78114078026704,52.11216448611716,0.02036930715479771,0.07325209283123968,1.0,3.0913458E8,3.8280041372E10,3.0,2.0
6.0,313.78114078026704,52.331040817332706,0.019545579781795767,0.05764249317564918,1.0,3.0913458E8,3.8280041372E10,3.0,3.0
6.0,313.78114078026704,50.77435040696463,0.021830906829287827,0.053334083314211966,1.0,3.0913458E8,3.8280041372E10,3.0,4.0
6.0,313.78114078026704,50.64441580611109,0.01981605015087113,0.05487448351857438,1.0,3.0913458E8,3.8280041372E10,3.0,5.0
6.0,313.78114078026704,51.86962978324736,0.025450098081968957,0.07000182288356882,1.0,3.0913458E8,3.8280041372E10,3.0,6.0
